datetime,load
2018-06-07,8.221
2018-06-08,9.895999999999999
2018-06-09,8.501000000000001
2018-06-10,8.557
2018-06-11,8.283
2018-06-12,8.103000000000002
2018-06-13,2.0060000000000002
2018-07-01,6.994999999999999
2018-07-02,8.987000000000002
2018-07-03,9.580000000000002
2018-07-04,8.838000000000001
2018-07-05,8.619000000000003
2018-07-06,9.793000000000003
2018-07-07,8.631
2018-07-08,8.854
2018-07-09,8.957
2018-07-10,8.655
2018-07-11,10.784
2018-07-12,9.521
2018-07-13,10.443
2018-07-14,8.931000000000003
2018-07-15,8.93
2018-07-16,9.823
2018-07-17,8.724000000000002
2018-07-18,8.947000000000003
2018-07-19,8.843000000000002
2018-07-20,9.697000000000005
2018-07-21,9.262
2018-07-22,9.173000000000004
2018-07-23,10.146
2018-07-24,9.037
2018-07-25,10.278000000000002
2018-07-26,9.882000000000001
2018-07-27,9.169
2018-07-28,9.578000000000001
2018-07-29,9.167000000000002
2018-07-30,9.349
2018-07-31,9.535000000000004
2018-08-01,9.495000000000003
2018-08-02,9.225000000000001
2018-08-03,9.261000000000003
2018-08-04,9.248000000000001
2018-08-05,9.648000000000005
2018-08-06,9.335
2018-08-07,9.375999999999998
2018-08-08,9.494000000000002
2018-08-09,9.673000000000002
2018-08-10,9.470000000000004
2018-08-11,10.779000000000005
2018-08-12,9.741000000000003
2018-08-13,9.897000000000002
2018-08-14,10.121000000000002
2018-08-15,9.996000000000006
2018-08-16,9.809000000000003
2018-08-17,9.878000000000002
2018-08-18,10.002000000000004
2018-08-19,10.042000000000002
2018-08-20,10.003000000000002
2018-08-21,9.996000000000002
2018-08-22,10.004000000000001
2018-08-23,10.173000000000002
2018-08-24,10.495000000000001
2018-08-25,11.127
2018-08-26,11.808
2018-08-27,10.453000000000003
2018-08-28,10.357999999999999
2018-08-29,10.540000000000004
2018-08-30,10.721000000000007
2018-08-31,10.890000000000004
2018-09-01,11.508999999999999
2018-09-02,11.722000000000007
2018-09-03,11.296000000000001
2018-09-04,11.492
2018-09-05,11.120000000000001
2018-09-06,11.144000000000002
2018-09-07,11.130000000000004
2018-09-08,11.403000000000002
2018-09-09,11.133000000000001
2018-09-10,11.111000000000002
2018-09-11,11.283000000000001
2018-09-12,11.095000000000002
2018-09-13,11.324
2018-09-14,11.570000000000006
2018-09-15,12.038000000000002
2018-09-16,11.736000000000002
2018-09-17,11.604000000000001
2018-09-18,11.736
2018-09-19,11.704
2018-09-20,11.779000000000002
2018-09-21,11.854
